Title,Body
"What is Python?","<p>Can someone explain what Python programming language is?</p>"
"What is a decorator in Python?","<p>I am confused about decorators in Python. How do they work?</p>"
"Difference between list and tuple","<p>What is the main difference between list and tuple in Python?</p>"
"What is GIL in Python?","<p>Please explain Global Interpreter Lock in Python.</p>"
"How does exception handling work?","<p>How try except block works in Python?</p>"
"What is lambda function?","<p>Explain lambda functions with examples.</p>"
"What is inheritance in Python?","<p>How inheritance works in OOP Python?</p>"
"What is pandas used for?","<p>Why do we use pandas library in Python?</p>"
"What is list comprehension?","<p>Explain list comprehension with examples.</p>"
"How to read a file in Python?","<p>Methods to read files in Python.</p>"
"Explain numpy arrays","<p>What are numpy arrays and why are they used?</p>"
"What is FastAPI?","<p>Basic introduction to FastAPI framework.</p>"
"What is virtual environment in Python?","<p>Why do we use venv in Python projects?</p>"
"How to install packages in Python?","<p>pip install usage explanation.</p>"
"What is OOP in Python?","<p>Explain object oriented programming concepts.</p>"
